title,company,location,link
Full Stack (Core Java/UI/Cloud) Software Engineer,"JPMorgan Chase Bank, N.A.","Newark, DE",https://stackoverflow.com/jobs/475495
Cloud Architect,Easee,"Stavanger, Norway",https://stackoverflow.com/jobs/477940
Cloud DataBase Administrator (DBA),RavenPack International SL.,"Marbella, Spain",https://stackoverflow.com/jobs/469543
Full-time Back-end Developer for AR Cloud Platform,"Pretia Technologies, Inc.","Shinagawa City, Japan",https://stackoverflow.com/jobs/457369
Developer for SAP Analytics Cloud product,SAP,"Sofia, Bulgaria",https://stackoverflow.com/jobs/447943
Systems Engineer – Cloud Infrastructure,European Molecular Biology Laboratory (EMBL),"Heidelberg, Deutschland",https://stackoverflow.com/jobs/471829
DevOps Cloud/Kubernetes Engineer,Vail Systems Inc.,"Chicago, IL",https://stackoverflow.com/jobs/451992
IoT / Cloud Software Developer (m/f/x),Robart GmbH,"Linz, Österreich",https://stackoverflow.com/jobs/473099
Software Architekt*in (m/w/d) #Cloud,GFT Deutschland,"Eschborn, Deutschland",https://stackoverflow.com/jobs/394235
Cloud Operations Engineer (SRE) /  Ingénieur Opérations Cloud,BuyCo,"Marseille, France",https://stackoverflow.com/jobs/460884
Senior Front-End Engineer,Cloud Academy,"Milan, Italy",https://stackoverflow.com/jobs/359740
Senior Cloud Platform Engineer - Azure,Servian,"Bengaluru, India",https://stackoverflow.com/jobs/442825
"Cloud Engineer - AWS, Azure, Google (all genders)",Accenture DACH,"Zürich, Switzerland",https://stackoverflow.com/jobs/391301
Principal Cloud Architect,UKG (Ultimate Kronos Group),No office location,https://stackoverflow.com/jobs/456575
Cloud Architect,uShip,"Austin, TX",https://stackoverflow.com/jobs/408185
Cloud Engineer (m/w/d),Kiwigrid GmbH,"Dresden, Deutschland",https://stackoverflow.com/jobs/422923
Java Software Engineer - Cloud,"JPMorgan Chase Bank, N.A.","Columbus, OH",https://stackoverflow.com/jobs/467095
Senior Software Engineer (Cloud),"Bluebeam, Inc.","Pasadena, CA",https://stackoverflow.com/jobs/454582
Senior Cloud Data Architect/Engineer (Remote Considered),Shield AI,"San Diego, CA",https://stackoverflow.com/jobs/468535
